,,Subject,,,295,
,,Protocol,,,IRTT_long,
,,Type,,,Master,
,,Channel,,,4,
,,Master,,,,
,,Date,,,2023-07-20,
,,Time,,,09:56:17,765,
,,Clock,,,5,
,,Time Warp,,,1x,
407,218,640,Reg,19,stage2,    4,000,
408,219,280,Input,4,On1A4,,
409,219,280,Exit,21,sec2,4,
410,219,280,Entry,22,prematuresec6,,
411,219,280,Reg,15,premsec2,    3,000,
412,219,285,Exit,22,prematuresec6,Time,
413,219,285,Entry,4,Premature,,
414,219,285,Reg,5,ComptPremat,   10,000,
415,219,290,Exit,4,Premature,Time,
416,219,290,Entry,5,TimeOut,,
417,219,625,Input,36,Off1A4,,
418,219,740,Input,3,On1A3,,
419,220,075,Input,2,On1A2,,
420,220,085,Input,35,Off1A3,,
421,221,720,Input,34,Off1A2,,
422,224,295,Exit,5,TimeOut,Time,
423,224,295,Entry,1,MagEntry,,
424,224,295,Reg,2,ComptNbessai,   15,000,
425,224,295,Reg,12,Accuracy,   66,667,
426,224,295,Reg,13,Omission,    6,667,
427,232,805,Input,1,On1A1,,
428,232,805,Exit,1,MagEntry,1,
429,232,805,Entry,2,ITI2sec,,
430,233,145,Input,33,Off1A1,,
431,233,805,Exit,2,ITI2sec,Time,
432,233,805,List,,ITItime,   25,000,
433,233,805,Entry,25,sec4,,
434,233,805,Reg,21,stage4,    4,000,
435,237,810,Exit,25,sec4,Time,
436,237,810,Entry,3,RandomHole,,
437,237,900,Input,1,On1A1,,
438,238,570,Input,33,Off1A1,,
439,238,810,Exit,3,RandomHole,Time,
440,238,810,List,,Pseudo1a5,    6,000,
441,238,810,Entry,6,hole1,,
442,238,810,Reg,11,HoleNumber,    1,000,
443,239,810,Exit,6,hole1,Time,
444,239,810,Entry,7,Holdhole1,,
445,239,990,Input,2,On1A2,,
446,239,990,Exit,7,Holdhole1,2,
447,239,990,Entry,17,CorrectResp,,
448,239,990,Reg,3,ComptCR,    3,000,
449,239,990,Reg,6,Reward,    3,000,
450,239,990,Reg,7,CptReward,    3,000,
451,239,990,Reg,1,ComptOmision,    0,000,
452,239,995,Exit,17,CorrectResp,Time,
453,239,995,Entry,1,MagEntry,,
454,239,995,Reg,2,ComptNbessai,   16,000,
455,239,995,Reg,12,Accuracy,   75,000,
456,239,995,Reg,13,Omission,    6,250,
457,240,330,Input,34,Off1A2,,
458,240,800,Input,1,On1A1,,
459,240,800,Exit,1,MagEntry,1,
460,240,800,Entry,2,ITI2sec,,
461,241,800,Exit,2,ITI2sec,Time,
462,241,800,List,,ITItime,   19,000,
463,241,800,Entry,19,sec5,,
464,241,800,Reg,18,stage1,    4,000,
465,242,450,Input,33,Off1A1,,
466,242,485,Input,1,On1A1,,
467,243,810,Input,33,Off1A1,,
468,246,510,Input,1,On1A1,,
469,246,805,Exit,19,sec5,Time,
470,246,805,Entry,3,RandomHole,,
471,246,855,Input,33,Off1A1,,
472,247,805,Exit,3,RandomHole,Time,
473,247,805,List,,Pseudo1a5,    8,000,
474,247,805,Entry,8,hole2,,
475,247,805,Reg,11,HoleNumber,    2,000,
476,248,145,Input,1,On1A1,,
477,248,805,Exit,8,hole2,Time,
478,248,805,Entry,9,Holdhole2,,
479,249,795,Input,33,Off1A1,,
480,249,805,Exit,9,Holdhole2,Time,
481,249,805,Entry,16,Omission,,
482,249,805,Reg,1,ComptOmision,    1,000,
483,249,805,Reg,8,Omision,    2,000,
484,249,815,Exit,16,Omission,Time,
485,249,815,Entry,5,TimeOut,,
486,250,915,Input,2,On1A2,,
487,250,915,Input,3,On1A3,,
488,251,255,Input,34,Off1A2,,
489,251,255,Input,35,Off1A3,,
490,251,400,Input,3,On1A3,,
491,253,706,Input,35,Off1A3,,
492,254,820,Exit,5,TimeOut,Time,
493,254,820,Entry,1,MagEntry,,
494,254,820,Reg,2,ComptNbessai,   17,000,
495,254,820,Reg,12,Accuracy,   75,000,
496,254,820,Reg,13,Omission,   11,765,
497,257,480,Input,1,On1A1,,
498,257,480,Exit,1,MagEntry,1,
499,257,480,Entry,2,ITI2sec,,
500,258,150,Input,33,Off1A1,,
501,258,480,Exit,2,ITI2sec,Time,
502,258,480,List,,ITItime,   19,000,
503,258,480,Entry,19,sec5,,
504,258,480,Reg,18,stage1,    5,000,
505,260,350,Input,3,On1A3,,
506,260,350,Input,4,On1A4,,
507,260,350,Exit,19,sec5,3,
508,260,350,Entry,20,prematuresec5,,
509,260,350,Reg,14,premsec1,    3,000,
510,260,355,Exit,20,prematuresec5,Time,
511,260,355,Entry,4,Premature,,
512,260,355,Reg,5,ComptPremat,   11,000,
513,260,360,Exit,4,Premature,Time,
514,260,360,Entry,5,TimeOut,,
515,260,695,Input,35,Off1A3,,
516,260,695,Input,36,Off1A4,,
517,262,635,Input,3,On1A3,,
518,262,635,Input,4,On1A4,,
519,262,975,Input,35,Off1A3,,
520,262,975,Input,36,Off1A4,,
521,265,365,Exit,5,TimeOut,Time,
522,265,365,Entry,1,MagEntry,,
523,265,365,Reg,2,ComptNbessai,   18,000,
524,265,365,Reg,12,Accuracy,   75,000,
525,265,365,Reg,13,Omission,   11,111,
526,265,810,Input,3,On1A3,,
527,266,150,Input,35,Off1A3,,
528,266,335,Input,2,On1A2,,
529,266,335,Input,3,On1A3,,
530,267,005,Input,34,Off1A2,,
531,267,005,Input,35,Off1A3,,
532,268,215,Input,1,On1A1,,
533,268,215,Exit,1,MagEntry,1,
534,268,215,Entry,2,ITI2sec,,
535,269,210,Input,33,Off1A1,,
536,269,215,Exit,2,ITI2sec,Time,
537,269,215,List,,ITItime,   25,000,
538,269,215,Entry,25,sec4,,
539,269,215,Reg,21,stage4,    5,000,
540,272,690,Input,3,On1A3,,
541,272,690,Input,4,On1A4,,
542,272,690,Exit,25,sec4,3,
543,272,690,Entry,26,prematuresec8,,
544,272,690,Reg,17,premsec4,    3,000,
545,272,695,Exit,26,prematuresec8,Time,
546,272,695,Entry,4,Premature,,
547,272,695,Reg,5,ComptPremat,   12,000,
548,272,700,Exit,4,Premature,Time,
549,272,700,Entry,5,TimeOut,,
550,273,030,Input,35,Off1A3,,
551,273,030,Input,36,Off1A4,,
552,277,705,Exit,5,TimeOut,Time,
553,277,705,Entry,1,MagEntry,,
